,RMSE of Train,RMSE of Test,MAE of Train,MAE of Test,R2 Score of Train,R2 Score of Test,CV RMSE
ElasticNet Regression,0.11004438216086014,0.14270412554866113,0.07464337064095868,0.09131120544984103,0.9205617123171345,0.8908720884949803,0.1303295860201203
Lasso Regression,0.10995882548513851,0.14267612403475236,0.07466734115217351,0.09131871184650564,0.9206851867488722,0.8909149106197031,0.1305066416539554
Ridge Regression,0.08952115559594304,0.1493720101075319,0.061887638052094955,0.09193878421170303,0.9474290916849011,0.8804357794132811,0.14087644243339217
Linear Regression,0.08709727304593888,0.14640209877532528,0.05993809095711197,0.08952324776212489,0.9502373801108311,0.885143020312578,0.15086343526239104
